All calculations,Terminal
6.991667,0.994326
7.001667,0.994389
7.011667,0.994451
7.021667,0.994514
7.031667,0.994576
7.041667,0.994637
7.051667,0.994698
7.061667,0.994759
7.071667,0.994819
7.081667,0.994879
7.091667,0.994938
7.101667,0.994998
7.111667,0.995056
7.121667,0.995115
7.131667,0.995173
7.141667,0.99523
7.151667,0.995288
7.161667,0.995345
7.171667,0.995401
7.181667,0.995458
7.191667,0.995513
7.201667,0.995569
7.211667,0.995624
7.221667,0.995679
7.231667,0.995734
7.241667,0.995788
7.251667,0.995842
7.261667,0.995895
7.271667,0.995948
7.281667,0.996001
7.291667,0.996054
7.301667,0.996106
7.311667,0.996158
7.321667,0.99621
7.331667,0.996261
7.341667,0.996312
7.351667,0.996362
7.361667,0.996413
7.371667,0.996463
7.381667,0.996512
7.391667,0.996562
7.401667,0.996611
7.411667,0.996659
7.421667,0.996708
7.431667,0.996756
7.441667,0.996804
7.451667,0.996851
7.461667,0.996898
7.471667,0.996945
7.481667,0.996991
7.491667,0.997037
7.501667,0.997083
7.511667,0.997129
7.521667,0.997174
7.531667,0.997219
7.541667,0.997263
7.551667,0.997308
7.561667,0.997351
7.571667,0.997395
7.581667,0.997438
7.591667,0.997481
7.601667,0.997523
7.611667,0.997566
7.621667,0.997607
7.631667,0.997649
7.641667,0.99769
7.651667,0.997731
7.661667,0.997771
7.671667,0.997811
7.681667,0.99785
7.691667,0.99789
7.701667,0.997929
7.711667,0.997967
7.721667,0.998005
7.731667,0.998043
7.741667,0.99808
7.751667,0.998117
7.761667,0.998154
7.771667,0.99819
7.781667,0.998226
7.791667,0.998261
7.801667,0.998297
7.811667,0.998331
7.821667,0.998366
7.831667,0.998399
7.841667,0.998433
7.851667,0.998466
7.861667,0.998499
7.871667,0.998531
7.881667,0.998563
7.891667,0.998595
7.901667,0.998626
7.911667,0.998657
7.921667,0.998687
7.931667,0.998717
7.941667,0.998747
7.951667,0.998776
7.961667,0.998805
7.971667,0.998833
7.981667,0.998861
7.991667,0.998889
8.001667,0.998916
8.011667,0.998943
8.021667,0.99897
8.031667,0.998996
8.041667,0.999021
8.051667,0.999047
8.061667,0.999072
8.071667,0.999096
8.081667,0.999121
8.091667,0.999144
8.101667,0.999168
8.111667,0.999191
8.121667,0.999213
8.131667,0.999236
8.141667,0.999258
8.151667,0.999279
8.161667,0.9993
8.171667,0.999321
8.181667,0.999342
8.191667,0.999362
8.201667,0.999382
8.211667,0.999401
8.221667,0.99942
8.231667,0.999439
8.241667,0.999457
8.251667,0.999475
8.261667,0.999492
8.271667,0.99951
8.281667,0.999526
8.291667,0.999543
8.301667,0.999559
8.311667,0.999575
8.321667,0.999591
8.331667,0.999606
8.341667,0.999621
8.351667,0.999635
8.361667,0.999649
8.371667,0.999663
8.381667,0.999677
8.391667,0.99969
8.401667,0.999703
8.411667,0.999715
8.421667,0.999727
8.431667,0.999739
8.441667,0.999751
8.451667,0.999762
8.461667,0.999773
8.471667,0.999784
8.481667,0.999794
8.491667,0.999804
8.501667,0.999814
8.511667,0.999823
8.521667,0.999832
8.531667,0.999841
8.541667,0.999849
8.551667,0.999857
8.561667,0.999865
8.571667,0.999873
8.581667,0.99988
8.591667,0.999887
8.601667,0.999894
8.611667,0.9999
8.621667,0.999906
8.631667,0.999912
8.641667,0.999918
8.651667,0.999923
8.661667,0.999928
8.671667,0.999933
8.681667,0.999937
8.691667,0.999941
8.701667,0.999945
8.711667,0.999948
8.721667,0.999952
8.731667,0.999955
8.741667,0.999957
8.751667,0.99996
8.761667,0.999962
8.771667,0.999964
8.781667,0.999966
8.791667,0.999967
8.801667,0.999968
8.811667,0.999969
8.821667,0.999969
8.831667,0.99997
8.841667,0.99997
8.851667,0.99997
8.861667,0.999969
8.871667,0.999969
8.881667,0.999968
8.891667,0.999966
8.901667,0.999965
8.911667,0.999963
8.921667,0.999961
8.931667,0.999959
8.941667,0.999957
8.951667,0.999954
8.961667,0.999951
8.971667,0.999948
8.981667,0.999945
8.991667,0.999941
9.001667,0.999937
9.011667,0.999933
9.021667,0.999929
9.031667,0.999924
9.041667,0.999919
9.051667,0.999914
9.061667,0.999909
9.071667,0.999904
9.081667,0.999898
9.091667,0.999892
9.101667,0.999886
9.111667,0.99988
9.121667,0.999873
9.131667,0.999866
9.141667,0.999859
9.151667,0.999852
9.161667,0.999845
9.171667,0.999837
9.181667,0.999829
9.191667,0.999821
9.201667,0.999813
9.211667,0.999805
9.221667,0.999796
9.231667,0.999787
9.241667,0.999778
9.251667,0.999769
9.261667,0.999759
9.271667,0.99975
9.281667,0.99974
9.291667,0.99973
9.301667,0.99972
9.311667,0.999709
9.321667,0.999699
9.331667,0.999688
9.341667,0.999677
9.351667,0.999666
9.361667,0.999655
9.371667,0.999644
9.381667,0.999632
9.391667,0.99962
9.401667,0.999608
9.411667,0.999596
9.421667,0.999584
9.431667,0.999571
9.441667,0.999559
9.451667,0.999546
9.461667,0.999533
9.471667,0.99952
9.481667,0.999507
9.491667,0.999493
9.501667,0.99948
9.511667,0.999466
9.521667,0.999452
9.531667,0.999438
9.541667,0.999424
9.551667,0.99941
9.561667,0.999395
9.571667,0.999381
9.581667,0.999366
9.591667,0.999351
9.601667,0.999336
9.611667,0.999321
9.621667,0.999306
9.631667,0.999291
9.641667,0.999275
9.651667,0.999259
9.661667,0.999244
9.671667,0.999228
9.681667,0.999212
9.691667,0.999196
9.701667,0.99918
9.711667,0.999163
9.721667,0.999147
9.731667,0.99913
9.741667,0.999114
9.751667,0.999097
9.761667,0.99908
9.771667,0.999063
9.781667,0.999046
9.791667,0.999029
9.801667,0.999011
9.811667,0.998994
9.821667,0.998977
9.831667,0.998959
9.841667,0.998941
9.851667,0.998924
9.861667,0.998906
9.871667,0.998888
9.881667,0.99887
9.891667,0.998852
9.901667,0.998834
9.911667,0.998816
9.921667,0.998797
9.931667,0.998779
9.941667,0.998761
9.951667,0.998742
9.961667,0.998723
9.971667,0.998705
9.981667,0.998686
9.991666,0.998667
9.996666,0.998667
10.003333,0.998646
10.013333,0.998627
10.023333,0.998608
10.033333,0.998589
10.043333,0.99857
10.053333,0.99855
10.063333,0.998531
10.073333,0.998512
10.083333,0.998493
10.093333,0.998473
10.103333,0.998454
10.113333,0.998435
10.123333,0.998415
10.133333,0.998396
10.143333,0.998376
10.153333,0.998356
10.163333,0.998337
10.173333,0.998317
10.183333,0.998298
10.193333,0.998278
10.203333,0.998258
10.213333,0.998238
10.223333,0.998219
10.233333,0.998199
10.243333,0.998179
10.253333,0.998159
10.263333,0.998139
10.273333,0.99812
10.283333,0.9981
10.293333,0.99808
10.303333,0.99806
10.313333,0.99804
10.323333,0.99802
10.333333,0.998
10.343333,0.99798
10.353333,0.99796
10.363333,0.99794
10.373333,0.997921
10.383333,0.997901
10.393333,0.997881
10.403333,0.997861
10.413333,0.997841
10.423333,0.997821
10.433333,0.997801
10.443333,0.997781
10.453333,0.997761
10.463333,0.997742
10.473333,0.997722
10.483333,0.997702
10.493333,0.997682
10.503333,0.997662
10.513333,0.997643
10.523333,0.997623
10.533333,0.997603
10.543333,0.997583
10.553333,0.997564
10.563333,0.997544
10.573333,0.997525
10.583333,0.997505
10.593333,0.997485
10.603333,0.997466
10.613333,0.997446
10.623333,0.997427
10.633333,0.997408
10.643333,0.997388
10.653333,0.997369
10.663333,0.997349
10.673333,0.99733
10.683333,0.997311
10.693333,0.997292
10.703333,0.997273
10.713333,0.997254
10.723333,0.997235
10.733333,0.997216
10.743333,0.997197
10.753333,0.997178
10.763333,0.997159
10.773333,0.99714
10.783333,0.997121
10.793333,0.997103
10.803333,0.997084
10.813333,0.997066
10.823333,0.997047
10.833333,0.997029
10.843333,0.99701
10.853333,0.996992
10.863333,0.996974
10.873333,0.996955
10.883333,0.996937
10.893333,0.996919
10.903333,0.996901
10.913333,0.996883
10.923333,0.996865
10.933333,0.996847
10.943333,0.99683
10.953333,0.996812
10.963333,0.996794
10.973333,0.996777
10.983333,0.996759
10.993333,0.996742
11.003333,0.996725
11.013333,0.996707
11.023333,0.99669
11.033333,0.996673
11.043333,0.996656
11.053333,0.996639
11.063333,0.996622
11.073333,0.996606
11.083333,0.996589
11.093333,0.996572
11.103333,0.996556
11.113333,0.996539
11.123333,0.996523
11.133333,0.996507
11.143333,0.996491
11.153333,0.996474
11.163333,0.996458
11.173333,0.996443
11.183333,0.996427
11.193333,0.996411
11.203333,0.996395
11.213333,0.99638
11.223333,0.996364
11.233333,0.996349
11.243333,0.996333
11.253333,0.996318
11.263333,0.996303
11.273333,0.996288
11.283333,0.996273
11.293333,0.996258
11.303333,0.996244
11.313333,0.996229
11.323333,0.996214
11.333333,0.9962
11.343333,0.996185
11.353333,0.996171
11.363333,0.996157
11.373333,0.996143
11.383333,0.996129
11.393333,0.996115
11.403333,0.996101
11.413333,0.996088
11.423333,0.996074
11.433333,0.996061
11.443333,0.996047
11.453333,0.996034
11.463333,0.996021
11.473333,0.996008
11.483333,0.995995
11.493333,0.995982
11.503333,0.995969
11.513333,0.995956
11.523333,0.995944
11.533333,0.995931
11.543333,0.995919
11.553333,0.995907
11.563333,0.995894
11.573333,0.995882
11.583333,0.99587
11.593333,0.995859
11.603333,0.995847
11.613333,0.995835
11.623333,0.995824
11.633333,0.995812
11.643333,0.995801
11.653333,0.99579
11.663333,0.995779
11.673333,0.995768
11.683333,0.995757
11.693333,0.995746
11.703333,0.995735
11.713333,0.995725
11.723333,0.995714
11.733333,0.995704
11.743333,0.995693
11.753333,0.995683
11.763333,0.995673
11.773333,0.995663
11.783333,0.995653
11.793333,0.995644
11.803333,0.995634
11.813333,0.995625
11.823333,0.995615
11.833333,0.995606
11.843333,0.995597
11.853333,0.995588
11.863333,0.995579
11.873333,0.99557
11.883333,0.995561
11.893333,0.995552
11.903333,0.995544
11.913333,0.995535
11.923333,0.995527
11.933333,0.995519
11.943333,0.995511
11.953333,0.995503
11.963333,0.995495
11.973333,0.995487
11.983333,0.995479
11.993333,0.995472
12.003333,0.995464
12.013333,0.995457
12.023333,0.995449
12.033333,0.995442
12.043333,0.995435
12.053333,0.995428
12.063333,0.995421
12.073333,0.995415
12.083333,0.995408
12.093333,0.995401
12.103333,0.995395
12.113333,0.995389
12.123333,0.995382
12.133333,0.995376
12.143333,0.99537
12.153333,0.995364
12.163333,0.995359
12.173333,0.995353
12.183333,0.995347
12.193333,0.995342
12.203333,0.995336
12.213333,0.995331
12.223333,0.995326
12.233333,0.995321
12.243333,0.995316
12.253333,0.995311
12.263333,0.995306
12.273333,0.995301
12.283333,0.995297
12.293333,0.995292
12.303333,0.995288
12.313333,0.995284
12.323333,0.995279
12.333333,0.995275
12.343333,0.995271
12.353333,0.995267
12.363333,0.995264
12.373333,0.99526
12.383333,0.995256
12.393333,0.995253
12.403333,0.995249
12.413333,0.995246
12.423333,0.995243
12.433333,0.99524
12.443333,0.995237
12.453333,0.995234
12.463333,0.995231
12.473333,0.995228
12.483333,0.995225
12.493333,0.995223
12.503333,0.99522
12.513333,0.995218
12.523333,0.995216
12.533333,0.995214
12.543333,0.995211
12.553333,0.995209
12.563333,0.995208
12.573333,0.995206
12.583333,0.995204
12.593333,0.995202
12.603333,0.995201
12.613333,0.995199
12.623333,0.995198
12.633333,0.995197
12.643333,0.995195
12.653333,0.995194
12.663333,0.995193
12.673333,0.995192
12.683333,0.995191
12.693333,0.995191
12.703333,0.99519
12.713333,0.995189
12.723333,0.995189
12.733333,0.995188
12.743333,0.995188
12.753333,0.995188
12.763333,0.995187
12.773333,0.995187
12.783333,0.995187
12.793333,0.995187
12.803333,0.995187
12.813333,0.995188
12.823333,0.995188
12.833333,0.995188
12.843333,0.995189
12.853333,0.995189
12.863333,0.99519
12.873333,0.995191
12.883333,0.995191
12.893333,0.995192
12.903333,0.995193
12.913333,0.995194
12.923333,0.995195
12.933333,0.995196
12.943333,0.995197
12.953333,0.995199
12.963333,0.9952
12.973333,0.995201
12.983333,0.995203
12.993333,0.995204
13.003333,0.995206
13.013333,0.995208
13.023333,0.995209
13.033333,0.995211
13.043333,0.995213
13.053333,0.995215
13.063333,0.995217
13.073333,0.995219
13.083333,0.995221
13.093333,0.995223
13.103333,0.995226
13.113333,0.995228
13.123333,0.995231
13.133333,0.995233
13.143333,0.995236
13.153333,0.995238
13.163333,0.995241
13.173333,0.995244
13.183333,0.995246
13.193333,0.995249
13.203333,0.995252
13.213333,0.995255
13.223333,0.995258
13.233333,0.995261
13.243333,0.995264
13.253333,0.995268
13.263333,0.995271
13.273333,0.995274
13.283333,0.995277
13.293333,0.995281
13.303333,0.995284
13.313333,0.995288
13.323333,0.995291
13.333333,0.995295
13.343333,0.995299
13.353333,0.995302
13.363333,0.995306
13.373333,0.99531
13.383333,0.995314
13.393333,0.995318
13.403333,0.995322
13.413333,0.995326
13.423333,0.99533
13.433333,0.995334
13.443333,0.995338
13.453333,0.995343
13.463333,0.995347
